claim_id,role,claim,estimate,denominator,source_artifact,interpretation_boundary
C01,cohort,"Coswara contributed 2114 participants with known binary labels","1433 negative; 681 positive","2114 participants","reports/tables/dataset_audit.csv","Unknown and recovered/other label groups were excluded from supervised analyses"
C02,cohort,"COUGHVID external evaluation used 8331 unique recording UUIDs","8046 negative-labeled; 285 positive-labeled; prevalence 0.03421","8331 recordings","reports/tables/reviewer_external_model_family_transfer_summary.csv","COUGHVID has no persistent person identifier, so repeated submissions cannot be clustered"
C03,quality,"The audio audit classified most source recordings as usable","23539 ok; 597 mostly silent; 390 corrupt; 186 short","24712 recordings","reports/tables/quality_summary.csv","Quality categories describe file usability and are not disease labels"
C04,methods,"The combined engineered representation contained three feature families","strong acoustic bank + ComParE 2016 + IS10","10147 merged columns before selection","scripts/56_run_compare_is10_rescue.py","Do not describe this representation as ComParE+IS10 alone"
C05,methods,"Feature selection retained the 800 highest-ranked source-training features","top k = 800; LightGBM ranking","source training rows","src/covid_rars/compare_is10_rescue.py","Selection was frozen before external transfer; the retrospective temporal analysis reuses this source workflow"
C06,methods,"Four conventional model families were evaluated with the same selected cough representation","LightGBM; XGBoost; CatBoost; RBF-SVC","same source and target cohorts","src/covid_rars/strong_baseline.py","Model-family consistency is more important than identifying a winning model"
C07,methods,"Multimodal probabilities were aggregated per participant before fusion","uniform mean; validation-weighted mean; validation-trained logistic stack","participant level","src/covid_rars/strong_baseline.py","Fusion parameters and operating threshold were estimated without using the test set"
C08,internal_support,"The selected internal multimodal source model achieved AUROC 0.897","AUROC 0.8971; AUPRC 0.8627; balanced accuracy 0.8247","314 Coswara test participants","reports/tables/compare_is10_final_validation_summary.csv","Cough+speech internal result; not directly comparable with cough-only external transfer"
C09,internal_support,"The internal multimodal estimate was stable over four seeds","AUROC 0.8951 +/- 0.0031","4 seeds","reports/tables/compare_is10_multiseed_stability_summary.csv","Seed variation does not measure cohort sampling uncertainty"
C10,primary,"LightGBM cough discrimination declined under external transfer","0.8525 to 0.5428; delta 0.3097","316 Coswara test; 8331 COUGHVID","reports/tables/reviewer_external_model_family_transfer_summary.csv","Fixed modality and model family"
C11,primary,"The LightGBM cough AUROC decline had a positive independent-bootstrap interval","delta 0.3097; 95% CI 0.2473 to 0.3659","316 source participants and 8331 target recording UUIDs","reports/tables/final_validation_delta_bootstrap_ci.csv","Independent two-sample bootstrap at each dataset's available analysis-unit level"
C12,primary,"SVC cough discrimination declined under external transfer","0.8679 to 0.5226; delta 0.3452","316 Coswara test; 8331 COUGHVID","reports/tables/reviewer_external_model_family_transfer_summary.csv","Fixed modality and model family"
C13,primary,"The SVC cough AUROC decline had a positive independent-bootstrap interval","delta 0.3452; 95% CI 0.2914 to 0.3981","316 source participants and 8331 target recording UUIDs","reports/tables/final_validation_delta_bootstrap_ci.csv","Independent two-sample bootstrap at each dataset's available analysis-unit level"
C14,primary,"CatBoost cough discrimination declined under external transfer","0.8494 to 0.5313; delta 0.3181","316 Coswara test; 8331 COUGHVID","reports/tables/reviewer_external_model_family_transfer_summary.csv","Fixed modality and model family"
C15,primary,"The CatBoost cough AUROC decline had a positive independent-bootstrap interval","delta 0.3181; 95% CI 0.2562 to 0.3762","316 source participants and 8331 target recording UUIDs","reports/tables/final_validation_delta_bootstrap_ci.csv","Independent two-sample bootstrap at each dataset's available analysis-unit level"
C16,primary,"XGBoost cough discrimination declined under external transfer","0.8499 to 0.5318; delta 0.3181","316 Coswara test; 8331 COUGHVID","reports/tables/reviewer_external_model_family_transfer_summary.csv","Fixed modality and model family"
C17,primary,"The XGBoost cough AUROC decline had a positive independent-bootstrap interval","delta 0.3181; 95% CI 0.2619 to 0.3712","316 source participants and 8331 target recording UUIDs","reports/tables/final_validation_delta_bootstrap_ci.csv","Independent two-sample bootstrap at each dataset's available analysis-unit level"
